title,company,location,salary_min,salary_max,category,created,description
Business Analyst,Opus Technology,"Reigate, Surrey",60000.0,70000.0,IT Jobs,2026-08-17 09:45:20+00:00,"Imagine yourself in a role where your professional growth and creativity are championed every step of the way. Opus is the UK’s largest independent Managed Service Providers, recently ranked as “World class” by the Best Companies to work for awards. Be a key player in our Digital Transformation team As we continue our growth journey, we are looking for an experienced Business Analyst to help identify, shape and prioritise opportunities that improve operational performance, customer outcomes and…"
Business Analyst - Remote,FDM Group,"London, UK",52593.01,52593.01,IT Jobs,2026-07-15 13:35:53+00:00,"About The Role FDM is a global business and technology consultancy seeking a Business Analyst with Active SC to work for our client within the public sector. This is initially a 6-month contract with the potential to extend and will be a remote role with occasional travel into London or Manchester. We are seeking a Business Analyst who will play a critical role in translating business needs into clearly defined, actionable requirements that drive successful technical implementation. This role s…"
Senior Business Analyst,FDM Group,"Glasgow, Scotland",47240.56,47240.56,IT Jobs,2026-07-15 13:35:53+00:00,"About The Role FDM is a global business and technology consultancy seeking a Business Analyst to work for our client within the Financial Services sector. This is initially a contract opportunity with strong potential for extension and will be a hybrid role based in Glasgow or Cheshire. Our client is looking for an experienced Business Analyst to support a major business transformation programme, helping define and implement retention and archive processes associated with the transition of crit…"
Data Business Analyst,Ntt Data,"London, UK",57140.1,57140.1,IT Jobs,2026-09-01 01:36:38+00:00,"As a Data Business Analyst at NTT DATA in London, you will play a pivotal role in delivering data-driven business solutions across sectors such as telecoms, media, banking, insurance, retail, energy, and public sector. The position requires at least 5 years’ experience in data, consulting, or analytics, with expertise in data modelling, SQL, Hive, Pig, Python, R, and data visualisation tools like PowerBI, Qlik, and Tableau. You will collaborate with clients and internal teams, manage data proje…"
Senior Business Analyst,Rightmove,"London, UK",57869.64,57869.64,IT Jobs,2026-09-07 12:28:35+00:00,"Our vision is to give everyone the belief they can make their move. We aim to make moving simpler, by giving everyone the best place to turn to and return to for access to the tools, expertise, trust, and belief to make it happen. We’re home to the UK’s largest choice of properties and are the go-to destination for millions of people planning their next move, reading the latest industry news, or just browsing what’s on the market. Location: London - Hybrid (2 Days) Reports to: Business Architec…"
Business Analysts,Anson Mccade,"London, UK",66528.45,66528.45,IT Jobs,2026-08-26 12:42:54+00:00,"£65,000.00 GBP Hybrid WORKING Location: Central London, Greater London - United Kingdom Type: Permanent Location: London Working Model: Hybrid / Client Facing Industry: Change & Transformation Consulting We are supporting a leading global change and transformation consultancy in recruiting Business Analysts to join their London team. This is an opportunity to work across complex transformation programmes, helping clients translate strategic objectives into practical technology and business solu…"
Senior Business Analyst,twentyAI,"London, UK",71568.04,71568.04,IT Jobs,2026-08-07 14:15:54+00:00,"Senior Business Analyst - London/Hybrid - Permanent - £70,000 - £80,000 base  bonus  benefits My client, a leading global financial services organisation is hiring a Senior Business Analyst to support high-profile business transformation and post-acquisition integration initiatives. This is a business-facing role with a strong focus on M&A integration, operating model design and end-to-end organisational change. We're looking for someone who understands how businesses operate and can help shape…"
Technical Business Analyst,Anson Mccade,"Newcastle Upon Tyne, Tyne & Wear",74892.45,74892.45,IT Jobs,2026-09-01 15:26:33+00:00,"£55,000.00 GBP Hybrid WORKING Location: Newcastle Upon Tyne, North East - United Kingdom Type: Permanent Technical Business Analyst Location: Newcastle upon Tyne - Hybrid, 3 days per week onsite Salary: Up to £55,000  Benefits Employment Type: Permanent Clearance: BPSS & SC eligibility required We are working with a leading global technology and transformation consultancy seeking Technical Business Analysts to join its growing Newcastle team. This is an opportunity to work across complex digita…"
Senior Business Analyst,bp,"Charing Cross, Central London",64607.27,64607.27,IT Jobs,2026-09-05 04:03:16+00:00,"Entity: Technology Job Family Group: IT&S Group Job Description: About the role Are you looking for a career in tech that truly challenges in a learning environment? bp is currently looking for versatile individual to be part of our digital delivery team. As a business analyst, you will be a key member of a multi-functional team involved in all phases of our product release lifecycle that adopts and promotes the DevOps & SRE (Site Reliability Engineering) methodologies, responsible for requirem…"
Business Analyst AVP - Leading Bank,Hunter Bond,"London, UK",58240.09,58240.09,Accounting & Finance Jobs,2026-09-01 19:33:28+00:00,"My Leading Banking client are looking for a talented and motivated Business Analyst to play a key role in supporting business case development, planning, control processes, impact evaluation and QA/testing. You'll identify impacts on the TOM, providing solutions to mitigate risks. You'll have the opportunity to work in a number of different business areas, including Financial Crime, Sales & Trading, Payments and Business Transformation. This is a high visibility and impactful role, working for …"
Business Analyst (Agile Products Team),Anson Mccade,"London, UK",71915.88,71915.88,IT Jobs,2026-08-31 13:18:31+00:00,"££45,000 - £60,000 GBP Bonus Hybrid WORKING Location: Manchester/Bristol , Central London, Greater London - United Kingdom Type: Permanent We're looking for a Senior Business Analyst to partner with senior stakeholders, shape business solutions, and drive successful delivery across high-profile change initiatives. This is an opportunity to work on challenging projects where you'll influence strategy, improve business processes, and bridge the gap between business and technology. What You'll Be …"
Senior Business Analyst - Albany Beck,Albany Beck,"Glasgow, Scotland",49457.66,49457.66,IT Jobs,2026-08-20 17:48:45+00:00,"Senior Business Analyst Company: Albany Beck Location: Glasgow (Hybrid) Engagement: Permanent Client Industry: Corporate Banking About Albany Beck Albany Beck is a Management Consultancy focused on delivering specialist transformation solutions to Financial Services clients. We combine deep industry expertise with modern delivery practices, enabling clients to scale effectively while offering meaningful, long‑term career development for our people. Joining Albany Beck means being part of a cons…"
Senior Technical Business Analyst,bp,"Sunbury-On-Thames, Surrey",62852.55,62852.55,IT Jobs,2026-09-01 08:21:03+00:00,"Entity: Technology Job Family Group: IT&S Group Job Description: Role Purpose: We are seeking a Senior Technical Business Analyst with strong hands-on Veson IMOS expertise and a proven business analysis core skills. You will bridge CCO business teams and technical delivery teams, translating commercial shipping needs into clear, testable requirements and practical, scalable solutions. The role covers IMOS and its connected application landscape across chartering, voyage operations and disbursem…"
